# We gratefully acknowledge the following Authors from the Originating laboratories responsible for obtaining the specimens, as well as the Submitting laboratories where the genome data were generated and shared via GISAID, on which this research is based.
# All Submitters of data may be contacted directly via www.gisaid.org
Accession ID	Virus Name	Location	Collection Date	Originating Laboratory	Submitting Laboratory	Authors
EPI_ISL_420790	hCoV-19/USA/IL_1293/2020	North America / USA / Illinois	3/1/20	Illinois Department of Public Health Chicago Laboratory	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Krista Queen, Yan Li, Ying Tao, Jing Zhang, Anne Uehara, Clinton R. Paden, Haibin Wang, Rachel Marine, Mary S. Keckler, Alison S. Laufer Halpin, Jasmine Padilla, Justin Lee, Christopher A. Elkins, Suxiang Tong
EPI_ISL_417149	hCoV-19/USA/WA-S96/2020	North America / USA / Washington / King County	2/28/20	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_417147	hCoV-19/USA/WA-S94/2020	North America / USA / Washington / Snohomish County	2/28/20	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_417148	hCoV-19/USA/WA-S95/2020	North America / USA / Washington / King County	2/28/20	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_420789	hCoV-19/USA/IL_1375/2020	North America / USA / Illinois	3/1/20	Illinois Department of Public Health Chicago Laboratory	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Krista Queen, Yan Li, Ying Tao, Jing Zhang, Anne Uehara, Clinton R. Paden, Haibin Wang, Rachel Marine, Mary S. Keckler, Alison S. Laufer Halpin, Jasmine Padilla, Justin Lee, Christopher A. Elkins, Suxiang Tong
EPI_ISL_420786	hCoV-19/USA/GA_1320/2020	North America / USA / Georgia	3/3/20	GA Department of Public Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Krista Queen, Yan Li, Ying Tao, Jing Zhang, Anne Uehara, Clinton R. Paden, Haibin Wang, Rachel Marine, Mary S. Keckler, Alison S. Laufer Halpin, Jasmine Padilla, Justin Lee, Christopher A. Elkins, Suxiang Tong
EPI_ISL_420785	hCoV-19/USA/FL_6318/2020	North America / USA / Florida	3/2/20	FL Bureau of Health Laboratories Tampa	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Krista Queen, Yan Li, Ying Tao, Jing Zhang, Anne Uehara, Clinton R. Paden, Haibin Wang, Rachel Marine, Mary S. Keckler, Alison S. Laufer Halpin, Jasmine Padilla, Justin Lee, Christopher A. Elkins, Suxiang Tong
EPI_ISL_420788	hCoV-19/USA/GA_1445/2020	North America / USA / Georgia	3/4/20	GA Department of Public Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Krista Queen, Yan Li, Ying Tao, Jing Zhang, Anne Uehara, Clinton R. Paden, Haibin Wang, Rachel Marine, Mary S. Keckler, Alison S. Laufer Halpin, Jasmine Padilla, Justin Lee, Christopher A. Elkins, Suxiang Tong
EPI_ISL_420787	hCoV-19/USA/GA_1299/2020	North America / USA / Georgia	3/3/20	GA Department of Public Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Krista Queen, Yan Li, Ying Tao, Jing Zhang, Anne Uehara, Clinton R. Paden, Haibin Wang, Rachel Marine, Mary S. Keckler, Alison S. Laufer Halpin, Jasmine Padilla, Justin Lee, Christopher A. Elkins, Suxiang Tong
EPI_ISL_420784	hCoV-19/USA/AZ_4811/2020	North America / USA / Arizona	3/2/20	AZ Department of Health Services	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Krista Queen, Yan Li, Ying Tao, Jing Zhang, Anne Uehara, Clinton R. Paden, Haibin Wang, Rachel Marine, Mary S. Keckler, Alison S. Laufer Halpin, Jasmine Padilla, Justin Lee, Christopher A. Elkins, Suxiang Tong
EPI_ISL_417134	hCoV-19/USA/WA-S81/2020	North America / USA / Washington / King County	2/26/20	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_417135	hCoV-19/USA/WA-S82/2020	North America / USA / Washington / King County	2/22/20	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_417132	hCoV-19/USA/WA-S79/2020	North America / USA / Washington / King County	3/5/20	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_417139	hCoV-19/USA/WA-S86/2020	North America / USA / Washington / King County	3/1/20	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_417136	hCoV-19/USA/WA-S83/2020	North America / USA / Washington / King County	3/5/20	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_417137	hCoV-19/USA/WA-S84/2020	North America / USA / Washington / King County	2/21/20	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_417163	hCoV-19/USA/WA-S110/2020	North America / USA / Washington / King County	3/5/20	Seattle Flu Study	Seattle Flu Study	Chu etl al
EPI_ISL_417164	hCoV-19/USA/WA-S111/2020	North America / USA / Washington / King County	3/7/20	Seattle Flu Study	Seattle Flu Study	Chu etl al
EPI_ISL_417161	hCoV-19/USA/WA-S108/2020	North America / USA / Washington / King County	2/29/20	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_417162	hCoV-19/USA/WA-S109/2020	North America / USA / Washington / Snohomish County	3/1/20	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_417167	hCoV-19/USA/WA-S114/2020	North America / USA / Washington / Snohomish County	3/5/20	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_417165	hCoV-19/USA/WA-S112/2020	North America / USA / Washington / King County	3/8/20	Seattle Flu Study	Seattle Flu Study	Chu etl al
EPI_ISL_417169	hCoV-19/USA/WA-S116/2020	North America / USA / Washington	3/2/20	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_417160	hCoV-19/USA/WA-S107/2020	North America / USA / Washington / King County	2/29/20	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_417152	hCoV-19/USA/WA-S99/2020	North America / USA / Washington / King County	2/28/20	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_417153	hCoV-19/USA/WA-S100/2020	North America / USA / Washington / King County	2/29/20	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_417151	hCoV-19/USA/WA-S98/2020	North America / USA / Washington / King County	2/29/20	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_417156	hCoV-19/USA/WA-S103/2020	North America / USA / Washington / King County	2/28/20	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_417157	hCoV-19/USA/WA-S104/2020	North America / USA / Washington / Snohomish County	3/5/20	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_417154	hCoV-19/USA/WA-S101/2020	North America / USA / Washington / King County	2/28/20	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_417155	hCoV-19/USA/WA-S102/2020	North America / USA / Washington / King County	2/28/20	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_417158	hCoV-19/USA/WA-S105/2020	North America / USA / Washington / King County	2/28/20	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_417159	hCoV-19/USA/WA-S106/2020	North America / USA / Washington / King County	2/29/20	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_420797	hCoV-19/USA/TX_2817/2020	North America / USA / Texas	3/1/20	Texas DSHS Lab Services	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Krista Queen, Yan Li, Ying Tao, Jing Zhang, Anne Uehara, Clinton R. Paden, Haibin Wang, Rachel Marine, Mary S. Keckler, Alison S. Laufer Halpin, Jasmine Padilla, Justin Lee, Christopher A. Elkins, Suxiang Tong
EPI_ISL_420799	hCoV-19/Korea/BA-ACH_2604/2020	Asia / Korea	2/27/20	Brian D. Allgood Army Community Hospital	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Krista Queen, Yan Li, Ying Tao, Jing Zhang, Anne Uehara, Clinton R. Paden, Haibin Wang, Rachel Marine, Mary S. Keckler, Alison S. Laufer Halpin, Jasmine Padilla, Justin Lee, Christopher A. Elkins, Suxiang Tong
EPI_ISL_417185	hCoV-19/Hong Kong/HKPU28_3001/2020	Asia / Hong Kong	2/9/20	Department of Pathology, United Christian Hospital	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG, Timothy Ting-Leung NG, Alan Ka-Lun WU, Miranda Chong-Yee YAU, Hiu-Yin LAO, Ming-Pan CHOI, Kingsley King-Gee TAM, Lam-Kwong LEE, Barry Kin-Chung WONG, Alex Yat-Man HO, Kam-Tong Yip, Kwok-Cheung LUNG, Raymond Wai-To LIU, Eugene Yuk-Keung TSO, Wai-Shing LEUNG, Man-Chun CHAN, Yuk-Yung NG, Kit-Man SIN, Kitty Sau-Chun FUNG, Sandy Ka-Yee CHAU, Wing-Kin TO, Tak-Lun Que, David Ho-Keung SHUM, Shea Ping YIP, Wing Cheong YAM, Gilman Kit-Hang SIU
EPI_ISL_417186	hCoV-19/South Africa/R03006-20/2020	Africa / South Africa / KZN	3/7/20	National Institute for Communicable Diseases of the National Health Laboratory Service	National Institute for Communicable Diseases of the National Health Laboratory Service	Allam M, Kwenda S, van Heusden P, Khumalo Z, Mohale T, Subramoney K, von Gottberg, A, Ismail A, Bhiman JN
EPI_ISL_417187	hCoV-19/Hong Kong/HKPU29_0102/2020	Asia / Hong Kong	2/8/20	Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG, Timothy Ting-Leung NG, Alan Ka-Lun WU, Miranda Chong-Yee YAU, Hiu-Yin LAO, Ming-Pan CHOI, Kingsley King-Gee TAM, Lam-Kwong LEE, Barry Kin-Chung WONG, Alex Yat-Man HO, Kam-Tong Yip, Kwok-Cheung LUNG, Raymond Wai-To LIU, Eugene Yuk-Keung TSO, Wai-Shing LEUNG, Man-Chun CHAN, Yuk-Yung NG, Kit-Man SIN, Kitty Sau-Chun FUNG, Sandy Ka-Yee CHAU, Wing-Kin TO, Tak-Lun Que, David Ho-Keung SHUM, Shea Ping YIP, Wing Cheong YAM, Gilman Kit-Hang SIU
EPI_ISL_417188	hCoV-19/Hong Kong/HKPU30_2901/2020	Asia / Hong Kong	2/8/20	Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG, Timothy Ting-Leung NG, Alan Ka-Lun WU, Miranda Chong-Yee YAU, Hiu-Yin LAO, Ming-Pan CHOI, Kingsley King-Gee TAM, Lam-Kwong LEE, Barry Kin-Chung WONG, Alex Yat-Man HO, Kam-Tong Yip, Kwok-Cheung LUNG, Raymond Wai-To LIU, Eugene Yuk-Keung TSO, Wai-Shing LEUNG, Man-Chun CHAN, Yuk-Yung NG, Kit-Man SIN, Kitty Sau-Chun FUNG, Sandy Ka-Yee CHAU, Wing-Kin TO, Tak-Lun Que, David Ho-Keung SHUM, Shea Ping YIP, Wing Cheong YAM, Gilman Kit-Hang SIU
EPI_ISL_417175	hCoV-19/USA/WA-S122/2020	North America / USA / Washington / Grant County	3/2/20	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_417172	hCoV-19/USA/WA-S119/2020	North America / USA / Washington / King County	2/29/20	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_417178	hCoV-19/Hong Kong/HKPU6_2101/2020	Asia / Hong Kong	1/25/20	Department of Pathology, Princess Margaret Hospital	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG, Timothy Ting-Leung NG, Alan Ka-Lun WU, Miranda Chong-Yee YAU, Hiu-Yin LAO, Ming-Pan CHOI, Kingsley King-Gee TAM, Lam-Kwong LEE, Barry Kin-Chung WONG, Alex Yat-Man HO, Kam-Tong Yip, Kwok-Cheung LUNG, Raymond Wai-To LIU, Eugene Yuk-Keung TSO, Wai-Shing LEUNG, Man-Chun CHAN, Yuk-Yung NG, Kit-Man SIN, Kitty Sau-Chun FUNG, Sandy Ka-Yee CHAU, Wing-Kin TO, Tak-Lun Que, David Ho-Keung SHUM, Shea Ping YIP, Wing Cheong YAM, Gilman Kit-Hang SIU
EPI_ISL_417170	hCoV-19/USA/WA-S117/2020	North America / USA / Washington	3/2/20	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_417171	hCoV-19/USA/WA-S118/2020	North America / USA / Washington / King County	3/1/20	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_413600	hCoV-19/Australia/NSW14/2020	Oceania / Australia / NSW / Sydney	3/3/20	Centre for Infectious Diseases and Microbiology - Public Health	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	Gall, M, Eden J-S, Lam C, Gray K, Timms, V, Rockett R, Carter I, Rahman H, Holmes EC, O’Sullivan MV, Sintchenko V, Chen SC, Maddocks S, Kok J and Dwyer DE for the 2019-nCoV Study Group*
EPI_ISL_417197	hCoV-19/Hong Kong/HKPU34_3001/2020	Asia / Hong Kong	2/9/20	Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG, Timothy Ting-Leung NG, Alan Ka-Lun WU, Miranda Chong-Yee YAU, Hiu-Yin LAO, Ming-Pan CHOI, Kingsley King-Gee TAM, Lam-Kwong LEE, Barry Kin-Chung WONG, Alex Yat-Man HO, Kam-Tong Yip, Kwok-Cheung LUNG, Raymond Wai-To LIU, Eugene Yuk-Keung TSO, Wai-Shing LEUNG, Man-Chun CHAN, Yuk-Yung NG, Kit-Man SIN, Kitty Sau-Chun FUNG, Sandy Ka-Yee CHAU, Wing-Kin TO, Tak-Lun Que, David Ho-Keung SHUM, Shea Ping YIP, Wing Cheong YAM, Gilman Kit-Hang SIU
EPI_ISL_417193	hCoV-19/Hong Kong/HKPU32_0402/2020	Asia / Hong Kong	2/9/20	Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG, Timothy Ting-Leung NG, Alan Ka-Lun WU, Miranda Chong-Yee YAU, Hiu-Yin LAO, Ming-Pan CHOI, Kingsley King-Gee TAM, Lam-Kwong LEE, Barry Kin-Chung WONG, Alex Yat-Man HO, Kam-Tong Yip, Kwok-Cheung LUNG, Raymond Wai-To LIU, Eugene Yuk-Keung TSO, Wai-Shing LEUNG, Man-Chun CHAN, Yuk-Yung NG, Kit-Man SIN, Kitty Sau-Chun FUNG, Sandy Ka-Yee CHAU, Wing-Kin TO, Tak-Lun Que, David Ho-Keung SHUM, Shea Ping YIP, Wing Cheong YAM, Gilman Kit-Hang SIU
EPI_ISL_419709	hCoV-19/Spain/PaisVasco201602/2020	Europe / Spain / BasqueCountry	3/4/20	HOSPITAL TXAGORRITXU 	Instituto de Salud Carlos III	Iglesias-Caballero, M. Molinero Calamita, M. González-Esguevillas, M. Camarero S. Pozo F. Casas I. Jiménez, P. Jiménez, M. Zaballos, A. Monzón, S. Varona, S. Juliá, M. Cuesta, I. Gómez, C.
EPI_ISL_419741	hCoV-19/Australia/VIC20/2020	Oceania / Australia / Victoria	3/8/20	Victorian Infectious Diseases Reference Laboratory (VIDRL)	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Caly L., Seemann T., Sait, M., Schultz M., Druce J., Sherry, N.
EPI_ISL_419737	hCoV-19/Australia/VIC18/2020	Oceania / Australia / Victoria	3/7/20	Victorian Infectious Diseases Reference Laboratory (VIDRL)	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Caly L., Seemann T., Sait, M., Schultz M., Druce J., Sherry, N.
EPI_ISL_419736	hCoV-19/Australia/VIC17/2020	Oceania / Australia / Victoria	3/7/20	Victorian Infectious Diseases Reference Laboratory (VIDRL)	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Caly L., Seemann T., Sait, M., Schultz M., Druce J., Sherry, N.
EPI_ISL_417101	hCoV-19/USA/WA-S48/2020	North America / USA / Washington / Snohomish County	2/29/20	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_417102	hCoV-19/USA/WA-S49/2020	North America / USA / Washington / King County	3/4/20	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_417100	hCoV-19/USA/WA-S47/2020	North America / USA / Washington / Snohomish County	2/29/20	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_417105	hCoV-19/USA/WA-S52/2020	North America / USA / Washington / Snohomish County	3/3/20	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_417106	hCoV-19/USA/WA-S53/2020	North America / USA / Washington / Snohomish County	3/3/20	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_417103	hCoV-19/USA/WA-S50/2020	North America / USA / Washington / King County	3/5/20	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_417104	hCoV-19/USA/WA-S51/2020	North America / USA / Washington	3/3/20	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_417107	hCoV-19/USA/WA-S54/2020	North America / USA / Washington / King County	3/5/20	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_417108	hCoV-19/USA/WA-S55/2020	North America / USA / Washington / King County	2/29/20	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_417120	hCoV-19/USA/WA-S67/2020	North America / USA / Washington / King County	3/4/20	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_417123	hCoV-19/USA/WA-S70/2020	North America / USA / Washington / King County	3/5/20	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_417124	hCoV-19/USA/WA-S71/2020	North America / USA / Washington / King County	3/5/20	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_417121	hCoV-19/USA/WA-S68/2020	North America / USA / Washington / King County	3/4/20	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_417122	hCoV-19/USA/WA-S69/2020	North America / USA / Washington / King County	3/5/20	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_417127	hCoV-19/USA/WA-S74/2020	North America / USA / Washington / King County	3/5/20	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_417128	hCoV-19/USA/WA-S75/2020	North America / USA / Washington / King County	3/5/20	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_417125	hCoV-19/USA/WA-S72/2020	North America / USA / Washington / King County	3/6/20	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_417126	hCoV-19/USA/WA-S73/2020	North America / USA / Washington	3/5/20	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_417129	hCoV-19/USA/WA-S76/2020	North America / USA / Washington / King County	3/5/20	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_417112	hCoV-19/USA/WA-S59/2020	North America / USA / Washington / King County	3/2/20	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_417110	hCoV-19/USA/WA-S57/2020	North America / USA / Washington	3/3/20	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_418442	hCoV-19/Hangzhou/HZ49/2020	Asia / China / Hangzhou	1/21/20	Hangzhou Center for Disease Control and Prevention	Inspection Center of Hangzhou Center for Disease Control and Prevention	Yu hua, Wang haoqiu, Li jun, Yu xinfeng, Pan jingcao
EPI_ISL_418441	hCoV-19/Hangzhou/HZ48/2020	Asia / China / Hangzhou	1/21/20	Hangzhou Center for Disease Control and Prevention	Inspection Center of Hangzhou Center for Disease Control and Prevention	Yu hua, Wang haoqiu, Li jun, Yu xinfeng, Pan jingcao
EPI_ISL_417116	hCoV-19/USA/WA-S63/2020	North America / USA / Washington / King County	3/4/20	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_417117	hCoV-19/USA/WA-S64/2020	North America / USA / Washington / King County	3/3/20	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_417114	hCoV-19/USA/WA-S61/2020	North America / USA / Washington / King County	3/5/20	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_417115	hCoV-19/USA/WA-S62/2020	North America / USA / Washington / Snohomish County	3/3/20	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_417118	hCoV-19/USA/WA-S65/2020	North America / USA / Washington / King County	3/3/20	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_417119	hCoV-19/USA/WA-S66/2020	North America / USA / Washington / Snohomish County	3/6/20	Washington State Department of Health	Seattle Flu Study	Chu etl al
EPI_ISL_413580	hCoV-19/Netherlands/Oisterwijk_1364072/2020	Europe / Netherlands / Oisterwijk	3/2/20	MHC Hart voor Brabant	Erasmus Medical Center	David Nieuwenhuijse, Bas Oude Munnink, Reina Sikkema, Claudia Schapendonk, Irina Chestakova, Anne van der Linden, Mark Pronk, Pascal Lexmond, Corien Swaan, Manon Haverkate, Madelief Mollers, Mart Stein, Sandra Kengne Kamga Mobou, Jeroen van Kampen, Jolanda Voermans, Aura Timen, Corine GeurtsvanKessel, Annemiek van der Eijk, Richard Molenkamp, Marion Koopmans, on behalf of the Dutch national COVID-19 response team.
EPI_ISL_413582	hCoV-19/Netherlands/Rotterdam_1363790/2020	Europe / Netherlands / Rotterdam	3/1/20	ErasmusMC	Erasmus Medical Center	David Nieuwenhuijse, Bas Oude Munnink, Reina Sikkema, Claudia Schapendonk, Irina Chestakova, Anne van der Linden, Mark Pronk, Pascal Lexmond, Corien Swaan, Manon Haverkate, Madelief Mollers, Mart Stein, Sandra Kengne Kamga Mobou, Jeroen van Kampen, Jolanda Voermans, Aura Timen, Corine GeurtsvanKessel, Annemiek van der Eijk, Richard Molenkamp, Marion Koopmans, on behalf of the Dutch national COVID-19 response team.
EPI_ISL_413583	hCoV-19/Netherlands/Rotterdam_1364040/2020	Europe / Netherlands / Rotterdam	3/2/20	MHC Rotterdam-Rijnmond	Erasmus Medical Center	David Nieuwenhuijse, Bas Oude Munnink, Reina Sikkema, Claudia Schapendonk, Irina Chestakova, Anne van der Linden, Mark Pronk, Pascal Lexmond, Corien Swaan, Manon Haverkate, Madelief Mollers, Mart Stein, Sandra Kengne Kamga Mobou, Jeroen van Kampen, Jolanda Voermans, Aura Timen, Corine GeurtsvanKessel, Annemiek van der Eijk, Richard Molenkamp, Marion Koopmans, on behalf of the Dutch national COVID-19 response team.
EPI_ISL_413584	hCoV-19/Netherlands/Rotterdam_1364740/2020	Europe / Netherlands / Rotterdam	3/3/20	unknown	Erasmus Medical Center	David Nieuwenhuijse, Bas Oude Munnink, Reina Sikkema, Claudia Schapendonk, Irina Chestakova, Anne van der Linden, Mark Pronk, Pascal Lexmond, Corien Swaan, Manon Haverkate, Madelief Mollers, Mart Stein, Sandra Kengne Kamga Mobou, Jeroen van Kampen, Jolanda Voermans, Aura Timen, Corine GeurtsvanKessel, Annemiek van der Eijk, Richard Molenkamp, Marion Koopmans, on behalf of the Dutch national COVID-19 response team.
